f_account.nm_name;f_stagehistory.f_duration;f_stagehistory.f_velocity;f_stagehistory.nm_id;f_opportunity.nm_name;f_product.nm_name;f_stage.nm_stagename
lynda.com;\N;85;4788;lynda.com > Educationly;Educationly;Closed Won
Lyon Roofing;\N;113;2557;Lyon Roofing > Educationly;Educationly;Closed Lost
M & E Painting;\N;55;4790;M & E Painting > Grammar Plus;Grammar Plus;Closed Won
M & E Painting;\N;59;2559;M & E Painting > Educationly;Educationly;Closed Lost
M S International;13;14;485;M S International > Educationly;Educationly;Discovery
M Space Holdings;\N;111;2560;M Space Holdings > Educationly;Educationly;Closed Lost
M2M Communications;\N;109;2564;M2M Communications > Educationly;Educationly;Closed Lost
Maher Restoration & Construction;\N;101;4801;Maher Restoration & Construction > PhoenixSoft;PhoenixSoft;Closed Won
Maher Restoration & Construction;\N;110;4800;Maher Restoration & Construction > Educationly;Educationly;Closed Won
Mailings Unlimited;\N;76;2580;Mailings Unlimited > Educationly;Educationly;Closed Lost
Makovsky + Company;\N;45;4803;Makovsky + Company > Educationly;Educationly;Closed Won
Manage Mobility;15;109;487;Manage Mobility > WonderKid;WonderKid;Conviction
Manage Mobility;25;46;489;Manage Mobility > WonderKid;WonderKid;Short List
Manage Mobility;35;\N;488;Manage Mobility > WonderKid;WonderKid;Interest
Manage Mobility;\N;71;2582;Manage Mobility > Educationly;Educationly;Closed Lost
Management Services Northwest;\N;69;2584;Management Services Northwest > Educationly;Educationly;Closed Lost
Mankin Media Systems;\N;40;4809;Mankin Media Systems > Educationly;Educationly;Closed Won
Mansfield-King;23;13;493;Mansfield-King > Educationly;Educationly;Discovery
Mansfield-King;\N;88;2585;Mansfield-King > Grammar Plus;Grammar Plus;Closed Lost
Maranda Enterprises;\N;35;4816;Maranda Enterprises > Educationly;Educationly;Closed Won
Marco's Franchising;\N;66;4819;Marco's Franchising > Educationly;Educationly;Closed Won
Mark Altman & Associates;\N;116;2588;Mark Altman & Associates > Educationly;Educationly;Closed Lost
Mark Altman & Associates;\N;49;4821;Mark Altman & Associates > PhoenixSoft;PhoenixSoft;Closed Won
Mark Patrick Media;\N;61;4822;Mark Patrick Media > Educationly;Educationly;Closed Won
Mark Patrick Media;\N;73;4823;Mark Patrick Media > PhoenixSoft;PhoenixSoft;Closed Won
Market America;\N;94;4824;Market America > Educationly;Educationly;Closed Won
Market Street Solutions;\N;52;4827;Market Street Solutions > Educationly;Educationly;Closed Won
MarketCounsel;\N;110;4828;MarketCounsel > Educationly;Educationly;Closed Won
MarketSphere Consulting;\N;79;2589;MarketSphere Consulting > Educationly;Educationly;Closed Lost
MarketWave;\N;61;4835;MarketWave > Educationly;Educationly;Closed Won
Marlin Network;\N;85;4838;Marlin Network > Educationly;Educationly;Closed Won
Mary's Gone Crackers;\N;125;2590;Mary's Gone Crackers > Grammar Plus;Grammar Plus;Closed Lost
Mary's Gone Crackers;\N;61;4841;Mary's Gone Crackers > Educationly;Educationly;Closed Won
Massachusetts Technology;\N;115;2591;Massachusetts Technology > Educationly;Educationly;Closed Lost
Massachusetts Technology;\N;90;4843;Massachusetts Technology > Grammar Plus;Grammar Plus;Closed Won
Massage Envy;\N;84;4844;Massage Envy > Educationly;Educationly;Closed Won
MasterGardening.com;\N;77;4845;MasterGardening.com > Educationly;Educationly;Closed Won
Mastermedia;\N;116;2593;Mastermedia > Grammar Plus;Grammar Plus;Closed Lost
Mastermedia;\N;86;4846;Mastermedia > Educationly;Educationly;Closed Won
Maverick Communications;\N;71;4848;Maverick Communications > Educationly;Educationly;Closed Won
MaxDelivery.com;\N;43;4852;MaxDelivery.com > Grammar Plus;Grammar Plus;Closed Won
MaxDelivery.com;\N;57;4851;MaxDelivery.com > Educationly;Educationly;Closed Won
MaximumASP;\N;AMC Entertainment;4854;MaximumASP > Educationly;Educationly;Closed Won
maxIT Healthcare;\N;64;4855;maxIT Healthcare > Educationly;Educationly;Closed Won
Mayday Industries;\N;81;4858;Mayday Industries > Educationly;Educationly;Closed Won
Mayer Brown;\N;68;4859;Mayer Brown > Educationly;Educationly;Closed Won
Mayorga Coffee;\N;103;2594;Mayorga Coffee > Educationly;Educationly;Closed Lost
McDonough Bolyard Peck;\N;52;2600;McDonough Bolyard Peck > Educationly;Educationly;Closed Lost
McDonough Bolyard Peck;\N;86;2601;McDonough Bolyard Peck > Grammar Plus;Grammar Plus;Closed Lost
MCFA;\N;62;2603;MCFA > Educationly;Educationly;Closed Lost
McGraw Wentworth;\N;61;2606;McGraw Wentworth > Educationly;Educationly;Closed Lost
McMahon Associates;\N;61;4866;McMahon Associates > Educationly;Educationly;Closed Won
MedAllocators;\N;109;4873;MedAllocators > Educationly;Educationly;Closed Won
Media Brokers International;\N;90;4875;Media Brokers International > Educationly;Educationly;Closed Won
MediConnect Global;\N;51;2619;MediConnect Global > Educationly;Educationly;Closed Lost
MediGain;\N;70;2620;MediGain > Educationly;Educationly;Closed Lost
Medistar;\N;70;4884;Medistar > Educationly;Educationly;Closed Won
MedNet Solutions;12;132;506;MedNet Solutions > Educationly;Educationly;Negotiation
MedNet Solutions;19;83;505;MedNet Solutions > Educationly;Educationly;Conviction
MedNet Solutions;31;20;507;MedNet Solutions > Educationly;Educationly;Short List
MedRisk;\N;99;4885;MedRisk > Educationly;Educationly;Closed Won
MedSeek;\N;87;2623;MedSeek > Educationly;Educationly;Closed Lost
MEDVAL;\N;74;4888;MEDVAL > Educationly;Educationly;Closed Won
MEDVAL;\N;92;4889;MEDVAL > Grammar Plus;Grammar Plus;Closed Won
Medwing.com;\N;91;2624;Medwing.com > Educationly;Educationly;Closed Lost
MegaPath;23;49;510;MegaPath > Educationly;Educationly;Short List
MegaPath;28;12;509;MegaPath > Educationly;Educationly;Discovery
Meier Architecture - Engineering;\N;85;4893;Meier Architecture - Engineering > Educationly;Educationly;Closed Won
MemoryTen;\N;89;4898;MemoryTen > Educationly;Educationly;Closed Won
Merchant Warehouse;\N;81;2628;Merchant Warehouse > WonderKid;WonderKid;Closed Lost
Merchant Warehouse;\N;97;4903;Merchant Warehouse > Educationly;Educationly;Closed Won
Merz Apothecary;6;21;515;Merz Apothecary > Educationly;Educationly;Short List
Metal Resource Solutions;\N;AC Lens;4916;Metal Resource Solutions > Educationly;Educationly;Closed Won
Metrofuser;\N;73;4918;Metrofuser > Educationly;Educationly;Closed Won
MetroSpec Technology;\N;108;2632;MetroSpec Technology > PhoenixSoft;PhoenixSoft;Closed Lost
MetroSpec Technology;\N;34;4919;MetroSpec Technology > Educationly;Educationly;Closed Won
Michigan Custom Machines;\N;123;2633;Michigan Custom Machines > Educationly;Educationly;Closed Lost
Microconsult;19;91;519;Microconsult > Educationly;Educationly;Conviction
Microconsult;31;17;520;Microconsult > Educationly;Educationly;Discovery
Microconsult;\N;47;4922;Microconsult > PhoenixSoft;PhoenixSoft;Closed Won
Microfluidic Systems;3;45;521;Microfluidic Systems > Educationly;Educationly;Short List
Micromedics;\N;51;2635;Micromedics > Educationly;Educationly;Closed Lost
MicroTrain Technologies;\N;AMC Entertainment;4925;MicroTrain Technologies > Educationly;Educationly;Closed Won
Midwest Underground Technology;15;23;523;Midwest Underground Technology > Educationly;Educationly;Discovery
Midwest Underground Technology;31;77;522;Midwest Underground Technology > Educationly;Educationly;Conviction
Midwest Underground Technology;6;26;524;Midwest Underground Technology > Educationly;Educationly;Short List
Milestone Metals;2;32;526;Milestone Metals > PhoenixSoft;PhoenixSoft;Short List
Milestone Metals;9;12;525;Milestone Metals > PhoenixSoft;PhoenixSoft;Discovery
Milestone Metals;\N;64;2642;Milestone Metals > Educationly;Educationly;Closed Lost
Milestone Systems;\N;107;2643;Milestone Systems > Educationly;Educationly;Closed Lost
Military Products Group;\N;86;2644;Military Products Group > Educationly;Educationly;Closed Lost
MilitaryByOwner Advertising;\N;36;4929;MilitaryByOwner Advertising > Educationly;Educationly;Closed Won
Millennium Pharmacy Systems;\N;60;4936;Millennium Pharmacy Systems > WonderKid;WonderKid;Closed Won
Millennium Pharmacy Systems;\N;67;4935;Millennium Pharmacy Systems > Educationly;Educationly;Closed Won
Milsoft Utility Solutions;\N;46;4939;Milsoft Utility Solutions > Educationly;Educationly;Closed Won
Mindbody;\N;39;4941;Mindbody > Educationly;Educationly;Closed Won
Mindbody;\N;76;2646;Mindbody > Grammar Plus;Grammar Plus;Closed Lost
MindLeaf Technologies;\N;62;4942;MindLeaf Technologies > Educationly;Educationly;Closed Won
Miner El Paso;\N;79;4946;Miner El Paso > Educationly;Educationly;Closed Won
Mintz, Levin, Cohn, Ferris, Glovsky and Popeo;14;37;529;Mintz, Levin, Cohn, Ferris, Glovsky and Popeo > Educationly;Educationly;Short List
MIPRO Consulting;\N;58;4948;MIPRO Consulting > Educationly;Educationly;Closed Won
MiresBall;\N;54;4951;MiresBall > Educationly;Educationly;Closed Won
Mirion Technologies;\N;76;2648;Mirion Technologies > Educationly;Educationly;Closed Lost
Miro Consulting;\N;62;4952;Miro Consulting > Educationly;Educationly;Closed Won
MISource;\N;71;2650;MISource > Educationly;Educationly;Closed Lost
Mission Support;\N;72;4953;Mission Support > Educationly;Educationly;Closed Won
Modern Technology Solutions;\N;37;4963;Modern Technology Solutions > Educationly;Educationly;Closed Won
Modo;\N;48;4964;Modo > Educationly;Educationly;Closed Won
Monitoring Solutions;\N;43;4970;Monitoring Solutions > Educationly;Educationly;Closed Won
Monitronics International;7;87;6660;Monitronics International > Educationly;Educationly;Negotiation
Monitronics International;9;64;6401;Monitronics International > Educationly;Educationly;Conviction
Monitronics International;\N;47;4971;Monitronics International > Educationly;Educationly;Closed Won
Morgan, Lewis & Bockius;\N;60;4978;Morgan, Lewis & Bockius > Educationly;Educationly;Closed Won
Morpheus Media;\N;109;4979;Morpheus Media > Educationly;Educationly;Closed Won
Mortgagebot;16;\N;538;Mortgagebot > Educationly;Educationly;Interest
Mortgagebot;28;69;537;Mortgagebot > Educationly;Educationly;Conviction
MOSAK Advertising & Insights;\N;94;4981;MOSAK Advertising & Insights > Educationly;Educationly;Closed Won
Motivators;16;54;542;Motivators > PhoenixSoft;PhoenixSoft;Short List
Motivators;\N;83;2659;Motivators > Educationly;Educationly;Closed Lost
Motive Interactive;\N;84;2660;Motive Interactive > Educationly;Educationly;Closed Lost
Motricity;\N;68;2661;Motricity > Educationly;Educationly;Closed Lost
Motricity;\N;88;4984;Motricity > Grammar Plus;Grammar Plus;Closed Won
Mountainside Fitness Centers;\N;77;4985;Mountainside Fitness Centers > Educationly;Educationly;Closed Won
MPAY;15;35;6761;MPAY > Educationly;Educationly;Risk Assessment
MPAY;5;64;6403;MPAY > Educationly;Educationly;Conviction
MPAY;\N;103;2662;MPAY > Educationly;Educationly;Closed Lost
mPower Software Services;34;\N;Vizio;mPower Software Services > Educationly;Educationly;Interest
MRM Construction Services;\N;58;2666;MRM Construction Services > Educationly;Educationly;Closed Lost
MTCSC;\N;67;2670;MTCSC > Educationly;Educationly;Closed Lost
Multi Business Systems;32;\N;546;Multi Business Systems > Educationly;Educationly;Interest
Multi-Bank Services;\N;94;4993;Multi-Bank Services > Educationly;Educationly;Closed Won
Multi-Media Masters;\N;102;2671;Multi-Media Masters > Educationly;Educationly;Closed Lost
Munger, Tolles & Olson;\N;67;4994;Munger, Tolles & Olson > Educationly;Educationly;Closed Won
Murdoch Security & Investigations;\N;54;4995;Murdoch Security & Investigations > Educationly;Educationly;Closed Won
Mutex Systems;\N;67;4997;Mutex Systems > Educationly;Educationly;Closed Won
MVS;\N;91;4998;MVS > Educationly;Educationly;Closed Won
Myriad Supply;\N;49;5003;Myriad Supply > Educationly;Educationly;Closed Won
N.P. Construction of North Florida;\N;48;5004;N.P. Construction of North Florida > Educationly;Educationly;Closed Won
Naplia;\N;64;2678;Naplia > Educationly;Educationly;Closed Lost
Nascent Systems;\N;101;5006;Nascent Systems > Educationly;Educationly;Closed Won
Nashville Ticket;\N;103;2679;Nashville Ticket > Educationly;Educationly;Closed Lost
Nashville Ticket;\N;96;5007;Nashville Ticket > WonderKid;WonderKid;Closed Won
National Food Group;\N;60;2682;National Food Group > Educationly;Educationly;Closed Lost
National Gift Card;\N;69;5011;National Gift Card > PhoenixSoft;PhoenixSoft;Closed Won
National Gift Card;\N;81;2683;National Gift Card > Educationly;Educationly;Closed Lost
National Recovery Agency;\N;62;5015;National Recovery Agency > Educationly;Educationly;Closed Won
Navicure;\N;AMC Entertainment;2688;Navicure > Educationly;Educationly;Closed Lost
NavigationArts;\N;74;5025;NavigationArts > Educationly;Educationly;Closed Won
Navigator Management Partners;21;22;553;Navigator Management Partners > Educationly;Educationly;Discovery
Navigator Management Partners;\N;44;5026;Navigator Management Partners > WonderKid;WonderKid;Closed Won
Near Infinity;\N;74;5028;Near Infinity > Educationly;Educationly;Closed Won
NeoCom Solutions;11;18;557;NeoCom Solutions > Educationly;Educationly;Discovery
Neogov;\N;121;2689;Neogov > Educationly;Educationly;Closed Lost
Neogov;\N;37;5033;Neogov > Grammar Plus;Grammar Plus;Closed Won
NeoSystems;\N;34;5035;NeoSystems > Educationly;Educationly;Closed Won
Nerdery Interactive Labs;\N;74;2690;Nerdery Interactive Labs > WonderKid;WonderKid;Closed Lost
Nerds On Call;\N;100;2691;Nerds On Call > Educationly;Educationly;Closed Lost
Net Direct Merchants;\N;118;2693;Net Direct Merchants > PhoenixSoft;PhoenixSoft;Closed Lost
Net Direct Merchants;\N;AMC Entertainment;2692;Net Direct Merchants > Educationly;Educationly;Closed Lost
Net Transcripts;\N;52;5036;Net Transcripts > Educationly;Educationly;Closed Won
Net@Work;\N;53;5037;Net@Work > Educationly;Educationly;Closed Won
Netarx;12;13;6504;Netarx > Educationly;Educationly;Discovery
Netarx;\N;100;5039;Netarx > Educationly;Educationly;Closed Won
Netarx;\N;37;5040;Netarx > PhoenixSoft;PhoenixSoft;Closed Won
Neteon Technologies;\N;58;2700;Neteon Technologies > Educationly;Educationly;Closed Lost
NetGain;\N;96;2702;NetGain > Educationly;Educationly;Closed Lost
NETtime Solutions;\N;57;2707;NETtime Solutions > Educationly;Educationly;Closed Lost
Network International;\N;52;2710;Network International > Educationly;Educationly;Closed Lost
Network9;\N;107;5045;Network9 > Educationly;Educationly;Closed Won
Nevada State Corporate Network;\N;75;5049;Nevada State Corporate Network > Educationly;Educationly;Closed Won
New Dawn Technologies;\N;51;5052;New Dawn Technologies > WonderKid;WonderKid;Closed Won
New Dawn Technologies;\N;63;5051;New Dawn Technologies > Educationly;Educationly;Closed Won
New Flight Charters;\N;96;5056;New Flight Charters > Educationly;Educationly;Closed Won
New Holland Brewing;\N;96;5058;New Holland Brewing > Educationly;Educationly;Closed Won
New Media Learning;\N;72;5060;New Media Learning > Educationly;Educationly;Closed Won
Newegg;29;\N;572;Newegg > Educationly;Educationly;Interest
Newgen Technologies;\N;54;5061;Newgen Technologies > Educationly;Educationly;Closed Won
NEXT Financial Holdings;\N;40;5068;NEXT Financial Holdings > Educationly;Educationly;Closed Won
Nextrials;\N;55;5072;Nextrials > Educationly;Educationly;Closed Won
Night Agency;\N;67;5076;Night Agency > PhoenixSoft;PhoenixSoft;Closed Won
Night Agency;\N;96;5075;Night Agency > Educationly;Educationly;Closed Won
Nital Trading;3;49;580;Nital Trading > Educationly;Educationly;Short List
No Limit Motorsport;\N;AC Lens;5087;No Limit Motorsport > Educationly;Educationly;Closed Won
NorthStar Moving;\N;62;2730;NorthStar Moving > Educationly;Educationly;Closed Lost
NovaCopy;\N;42;5099;NovaCopy > Educationly;Educationly;Closed Won
NOVO 1;35;10;588;NOVO 1 > Educationly;Educationly;Discovery
Ntelicor;\N;69;5108;Ntelicor > Educationly;Educationly;Closed Won
Ntelx;\N;67;2733;Ntelx > Grammar Plus;Grammar Plus;Closed Lost
Ntelx;\N;80;5109;Ntelx > Educationly;Educationly;Closed Won
Nuclear Safety Associates;\N;99;5113;Nuclear Safety Associates > Educationly;Educationly;Closed Won
Nutri-Force Nutrition;\N;61;5117;Nutri-Force Nutrition > WonderKid;WonderKid;Closed Won
Nutri-Force Nutrition;\N;93;5116;Nutri-Force Nutrition > Educationly;Educationly;Closed Won
NuView Systems;\N;35;5119;NuView Systems > Educationly;Educationly;Closed Won
O2B Kids;\N;74;5124;O2B Kids > Educationly;Educationly;Closed Won
Oak Grove Technologies;\N;109;5125;Oak Grove Technologies > Educationly;Educationly;Closed Won
Oasis Systems;\N;90;5128;Oasis Systems > Educationly;Educationly;Closed Won
Object Technology Solutions;\N;98;5130;Object Technology Solutions > Educationly;Educationly;Closed Won
ObjectNet Technologies;\N;88;5131;ObjectNet Technologies > Educationly;Educationly;Closed Won
OmniVue;\N;75;2745;OmniVue > Educationly;Educationly;Closed Lost
OnDemand Resources;\N;49;5149;OnDemand Resources > Educationly;Educationly;Closed Won
One Call Now;\N;118;2747;One Call Now > Educationly;Educationly;Closed Lost
One Source;\N;52;5151;One Source > Educationly;Educationly;Closed Won
One Stop Environmental;\N;37;5153;One Stop Environmental > Educationly;Educationly;Closed Won
One Technologies;\N;110;5155;One Technologies > Educationly;Educationly;Closed Won
One Technologies;\N;41;5156;One Technologies > PhoenixSoft;PhoenixSoft;Closed Won
OneMD;\N;59;5160;OneMD > Educationly;Educationly;Closed Won
Online Commerce Group;\N;86;5165;Online Commerce Group > WonderKid;WonderKid;Closed Won
Online Commerce Group;\N;92;5164;Online Commerce Group > Educationly;Educationly;Closed Won
OpenLink Financial;\N;93;5170;OpenLink Financial > Educationly;Educationly;Closed Won
OpenSpirit;25;23;6763;OpenSpirit > Educationly;Educationly;Risk Assessment
OpenSpirit;6;77;6662;OpenSpirit > Educationly;Educationly;Negotiation
OpenSpirit;\N;65;5171;OpenSpirit > Educationly;Educationly;Closed Won
Operative;\N;97;5172;Operative > Educationly;Educationly;Closed Won
Opes Advisors;\N;69;5173;Opes Advisors > PhoenixSoft;PhoenixSoft;Closed Won
Opes Advisors;\N;94;2753;Opes Advisors > Educationly;Educationly;Closed Lost
OptiMA;16;\N;594;OptiMA > Educationly;Educationly;Interest
Optimum Technology Solutions;\N;50;5178;Optimum Technology Solutions > Educationly;Educationly;Closed Won
Oracle Diagnostic Laboratories;\N;81;5180;Oracle Diagnostic Laboratories > Educationly;Educationly;Closed Won
Orbit Logic;2;\N;6552;Orbit Logic > Educationly;Educationly;Interest
Orbit Logic;\N;89;2755;Orbit Logic > Educationly;Educationly;Closed Lost
Organize.com;\N;86;5185;Organize.com > Educationly;Educationly;Closed Won
OriGene Technologies;11;25;6837;OriGene Technologies > Educationly;Educationly;Short List
OriGene Technologies;\N;51;5186;OriGene Technologies > Educationly;Educationly;Closed Won
Orion Systems Integrators;35;25;596;Orion Systems Integrators > Educationly;Educationly;Short List
Orion Systems Integrators;\N;52;5187;Orion Systems Integrators > WonderKid;WonderKid;Closed Won
Orrick, Herrington & Sutcliffe;12;17;6764;Orrick, Herrington & Sutcliffe > Educationly;Educationly;Risk Assessment
Orrick, Herrington & Sutcliffe;6;36;6838;Orrick, Herrington & Sutcliffe > Educationly;Educationly;Short List
Orrick, Herrington & Sutcliffe;\N;33;5188;Orrick, Herrington & Sutcliffe > Educationly;Educationly;Closed Won
Otto Environmental Systems;\N;104;2759;Otto Environmental Systems > Educationly;Educationly;Closed Lost
Outreach Telecom and Energy;18;\N;603;Outreach Telecom and Energy > Educationly;Educationly;Interest
Outsource Partners International;\N;61;5195;Outsource Partners International > Educationly;Educationly;Closed Won
Ovation Payroll;\N;102;5196;Ovation Payroll > Educationly;Educationly;Closed Won
overstockArt.com;\N;66;5198;overstockArt.com > Educationly;Educationly;Closed Won
P.W. Grosser Consulting;\N;33;5201;P.W. Grosser Consulting > Educationly;Educationly;Closed Won
Pacific Market International;\N;76;5206;Pacific Market International > Educationly;Educationly;Closed Won
Para-Plus Translations;14;64;616;Para-Plus Translations > Educationly;Educationly;Negotiation
Para-Plus Translations;16;\N;615;Para-Plus Translations > Educationly;Educationly;Interest
Para-Plus Translations;17;39;614;Para-Plus Translations > Educationly;Educationly;Conviction
Park;\N;57;5222;Park > Educationly;Educationly;Closed Won
Parks Associates;\N;40;5223;Parks Associates > Educationly;Educationly;Closed Won
Parkside Lending;\N;105;2773;Parkside Lending > Educationly;Educationly;Closed Lost
Parkside Lending;\N;113;2774;Parkside Lending > Grammar Plus;Grammar Plus;Closed Lost
Parkside Lending;\N;43;5224;Parkside Lending > Grammar Plus;Grammar Plus;Closed Won
Partners + Napier;\N;106;5227;Partners + Napier > Educationly;Educationly;Closed Won
Partners Electrical Services;\N;39;5228;Partners Electrical Services > Educationly;Educationly;Closed Won
Parts Town;\N;75;5230;Parts Town > Educationly;Educationly;Closed Won
Partsearch Technologies;\N;99;5231;Partsearch Technologies > Educationly;Educationly;Closed Won
PartsSource;\N;103;2777;PartsSource > Educationly;Educationly;Closed Lost
PartsSource;\N;61;5232;PartsSource > Grammar Plus;Grammar Plus;Closed Won
PayLock;\N;99;5244;PayLock > Educationly;Educationly;Closed Won
Payment Processing;\N;67;5245;Payment Processing > Educationly;Educationly;Closed Won
PC Outlet;\N;104;5248;PC Outlet > Educationly;Educationly;Closed Won
PC Outlet;\N;95;5249;PC Outlet > Grammar Plus;Grammar Plus;Closed Won
PC Parts;\N;96;5250;PC Parts > Educationly;Educationly;Closed Won
Peach New Media;\N;54;5253;Peach New Media > Educationly;Educationly;Closed Won
Peak Health Solutions;\N;77;5254;Peak Health Solutions > Educationly;Educationly;Closed Won
Pediatric Therapeutic Services;\N;47;5256;Pediatric Therapeutic Services > Educationly;Educationly;Closed Won
PEI;\N;95;2784;PEI > Educationly;Educationly;Closed Lost
Pennoni Associates;\N;74;2786;Pennoni Associates > Educationly;Educationly;Closed Lost
Pentagroup Financial;13;12;622;Pentagroup Financial > Educationly;Educationly;Discovery
Pentagroup Financial;25;112;621;Pentagroup Financial > Educationly;Educationly;Conviction
PeopleFinders.com;\N;42;5263;PeopleFinders.com > Educationly;Educationly;Closed Won
People's Care;21;\N;623;People's Care > Educationly;Educationly;Interest
People's Care;\N;49;5264;People's Care > Grammar Plus;Grammar Plus;Closed Won
PeopleShare;\N;105;5266;PeopleShare > PhoenixSoft;PhoenixSoft;Closed Won
PeopleShare;\N;62;5265;PeopleShare > Educationly;Educationly;Closed Won
Peppercom;25;58;626;Peppercom > Educationly;Educationly;Short List
Peppercom;27;15;624;Peppercom > Educationly;Educationly;Discovery
Peppercom;35;\N;625;Peppercom > Educationly;Educationly;Interest
PerfectPower;\N;76;5270;PerfectPower > Educationly;Educationly;Closed Won
Performance Results;\N;74;5271;Performance Results > Educationly;Educationly;Closed Won
Performance Software;\N;40;5272;Performance Software > Educationly;Educationly;Closed Won
Perkins+Will;\N;AMC Entertainment;5276;Perkins+Will > Educationly;Educationly;Closed Won
PersonalizationMall.com;\N;42;5277;PersonalizationMall.com > Educationly;Educationly;Closed Won
PersonalizationMall.com;\N;71;2791;PersonalizationMall.com > PhoenixSoft;PhoenixSoft;Closed Lost
Pet Doctors of America;\N;50;5279;Pet Doctors of America > Educationly;Educationly;Closed Won
Petersen;\N;95;5280;Petersen > Educationly;Educationly;Closed Won
PetRelocation.com;15;55;6765;PetRelocation.com > PhoenixSoft;PhoenixSoft;Risk Assessment
PetRelocation.com;6;\N;6553;PetRelocation.com > PhoenixSoft;PhoenixSoft;Interest
PetRelocation.com;\N;49;5283;PetRelocation.com > PhoenixSoft;PhoenixSoft;Closed Won
PetRelocation.com;\N;52;2793;PetRelocation.com > Educationly;Educationly;Closed Lost
Pharma-Care;\N;89;5288;Pharma-Care > Educationly;Educationly;Closed Won
PharmaSmart;\N;51;5291;PharmaSmart > Educationly;Educationly;Closed Won
PharmaStrat;\N;34;5292;PharmaStrat > Educationly;Educationly;Closed Won
Photo Science;\N;AC Lens;5299;Photo Science > Educationly;Educationly;Closed Won
Phydeaux;\N;49;5301;Phydeaux > Educationly;Educationly;Closed Won
PicScout;\N;72;2798;PicScout > Educationly;Educationly;Closed Lost
Pinnacle Publishing Group;21;88;633;Pinnacle Publishing Group > Educationly;Educationly;Conviction
Pinnacle Security;\N;55;5309;Pinnacle Security > PhoenixSoft;PhoenixSoft;Closed Won
Pinnacle Security;\N;96;5308;Pinnacle Security > Educationly;Educationly;Closed Won
Pita Pit USA;\N;59;5313;Pita Pit USA > Educationly;Educationly;Closed Won
PJA Advertising + Marketing;\N;74;5315;PJA Advertising + Marketing > Educationly;Educationly;Closed Won
PlainsCapital;\N;98;5316;PlainsCapital > Educationly;Educationly;Closed Won
Plan B Burger Bar;\N;51;5317;Plan B Burger Bar > Grammar Plus;Grammar Plus;Closed Won
Plan B Burger Bar;\N;65;2800;Plan B Burger Bar > Educationly;Educationly;Closed Lost
Planet Fitness;\N;84;2801;Planet Fitness > Educationly;Educationly;Closed Lost
Plant Fantasies;\N;94;5320;Plant Fantasies > Educationly;Educationly;Closed Won
PlaySpan;14;\N;640;PlaySpan > Educationly;Educationly;Interest
PlaySpan;30;\N;641;PlaySpan > WonderKid;WonderKid;Interest
PLS Financial Services;\N;46;5324;PLS Financial Services > Educationly;Educationly;Closed Won
PMOLink;\N;43;5326;PMOLink > Educationly;Educationly;Closed Won
PolicyTech;20;\N;645;PolicyTech > Educationly;Educationly;Interest
PolySource;\N;71;5332;PolySource > Educationly;Educationly;Closed Won
Portage;16;\N;649;Portage > Educationly;Educationly;Interest
Portage;\N;59;2806;Portage > PhoenixSoft;PhoenixSoft;Closed Lost
Portal Solutions;19;\N;650;Portal Solutions > Educationly;Educationly;Interest
Portico Systems;10;18;6842;Portico Systems > Educationly;Educationly;Short List
Portico Systems;19;53;6766;Portico Systems > Educationly;Educationly;Risk Assessment
Portico Systems;\N;32;5338;Portico Systems > Grammar Plus;Grammar Plus;Closed Won
Portico Systems;\N;84;5337;Portico Systems > Educationly;Educationly;Closed Won
Power Pro-Tech Services;\N;109;5340;Power Pro-Tech Services > Educationly;Educationly;Closed Won
PowerDirect Marketing;27;35;659;PowerDirect Marketing > Educationly;Educationly;Conviction
Prairie City Bakery;\N;37;5345;Prairie City Bakery > PhoenixSoft;PhoenixSoft;Closed Won
Prairie City Bakery;\N;45;5344;Prairie City Bakery > Educationly;Educationly;Closed Won
Precision Laser Services;\N;93;2819;Precision Laser Services > Educationly;Educationly;Closed Lost
Predictive Service;\N;36;5350;Predictive Service > Educationly;Educationly;Closed Won
Preferred Medical Marketing;\N;63;2820;Preferred Medical Marketing > Educationly;Educationly;Closed Lost
Premier Graphics;\N;52;2822;Premier Graphics > Educationly;Educationly;Closed Lost
Prestige Employee Administrators;\N;98;5358;Prestige Employee Administrators > Educationly;Educationly;Closed Won
Preval;\N;113;2829;Preval > Educationly;Educationly;Closed Lost
Primescape Solutions;26;61;673;Primescape Solutions > Educationly;Educationly;Conviction
Primescape Solutions;\N;64;2832;Primescape Solutions > PhoenixSoft;PhoenixSoft;Closed Lost
PrintRunner;\N;70;2834;PrintRunner > Educationly;Educationly;Closed Lost
Pro Teck Services;\N;123;2837;Pro Teck Services > Grammar Plus;Grammar Plus;Closed Lost
Pro Teck Services;\N;87;5371;Pro Teck Services > Educationly;Educationly;Closed Won
Pro-Air Services;4;15;6844;Pro-Air Services > Educationly;Educationly;Short List
Pro-Air Services;7;23;6767;Pro-Air Services > Educationly;Educationly;Risk Assessment
Pro-Air Services;\N;57;5372;Pro-Air Services > Educationly;Educationly;Closed Won
Proforma Promotion Consultants;\N;32;5388;Proforma Promotion Consultants > Educationly;Educationly;Closed Won
Proforma Spectrum Print Graphics;\N;40;5389;Proforma Spectrum Print Graphics > Educationly;Educationly;Closed Won
Progressive Medical;\N;39;5390;Progressive Medical > Educationly;Educationly;Closed Won
Project Leadership Associates;\N;73;2842;Project Leadership Associates > Educationly;Educationly;Closed Lost
